"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DHR5ZTT4","conferencePaper","2013","Habibzadeh, Mehdi; Krzyżak, Adam; Fevens, Thomas","White Blood Cell Differential Counts Using Convolutional Neural Networks for Low Resolution Images","Artificial Intelligence and Soft Computing","978-3-642-38610-7","","10.1007/978-3-642-38610-7_25","","The Complete Blood Count (CBC) is a medical diagnostic test concerned with identifying and counting basic blood cells such as red blood cells (RBC), white blood cells (WBC) and platelets. The computerized automation of CBC has been a challenging problem in medical diagnostics. In this work we describe a subcomponent system for the CBC to perform the automatic classification of WBC cells into one of five WBC types in low resolution cytological images. We describe feature extraction and consider three classifiers: a support vector machine (SVM) using standard intensity and histogram features, an SVM with features extracted by a kernel principal component analysis of the intensity and histogram features, and a convolutional neural network (CNN) which takes the entire image as input. The proposed classifiers were compared through experiments conducted on low resolution cytological images of normal blood smears. The best results were obtained with the CNN solution with recognition rates either higher or comparable to the SVM-based classifiers for all five types of WBCs.","2013","2021-02-25 13:27:45","2021-02-25 13:27:45","","263-274","","","","","","","Lecture Notes in Computer Science","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\ICXQ5UW4\Habibzadeh et al. - 2013 - White Blood Cell Differential Counts Using Convolu.pdf","","","Complete Blood Count; convolutional neural network; support vector machine; white blood cell classification","Rutkowski, Leszek; Korytkowski, Marcin; Scherer, Rafał; Tadeusiewicz, Ryszard; Zadeh, Lotfi A.; Zurada, Jacek M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQXT3L5B","conferencePaper","2021","Siala, Muaad Hammuda; El-Seoud, M. Samir Abou; McKee, Gerard","White Blood Cells Detection and Classification Using Convolutional Neural Network","Internet of Things, Infrastructures and Mobile Applications","978-3-030-49932-7","","10.1007/978-3-030-49932-7_80","","Leukemia is one of the deadliest diseases in human life, it is a type of cancer that hits blood cells. The task of diagnosing Leukemia is time consuming and tedious for doctors; it is also challenging to determine the level and type of Leukemia. The diagnoses of Leukemia are achieved through identifying the changes on the White blood Cells (WBC). WBCs are divided into five types: Neutrophils, Eosinophils, Basophils, Monocytes, and Lymphocytes. In this paper, the authors propose a Convolutional Neural Network to detect and classify normal white blood cells. The program will learn about the shape and type of normal WBC by performing the following two tasks. The first task is identifying high level features of a normal white blood cell. The second task is classifying the normal white blood cell according to its type. Using a Convolutional Neural Network CNN, the system will be able to detect normal WBCs by comparing them with the high-level features of normal WBC. This process of identifying and classifying WBC can be vital for doctors and medical staff to make a decision. The proposed network achieves an accuracy up to 95.47% with a dataset including 10,000 blood cell images.","2021","2021-02-25 13:58:41","2021-02-25 13:58:41","","867-878","","","","","","","Advances in Intelligent Systems and Computing","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\8CKFPFEX\Siala et al. - 2021 - White Blood Cells Detection and Classification Usi.pdf","","","Convolutional Neural Network; Deep learning; Histology; Image processing","Auer, Michael E.; Tsiatsos, Thrasyvoulos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXKBSVUT","conferencePaper","2020","Chen, Yuanyuan; Teng, Shenghua; Li, Zuoyong","Peripheral Blood Leukocyte Image Segmentation Based on Deep Convolutional Neural Network","Machine Learning for Cyber Security","978-3-030-62463-7","","10.1007/978-3-030-62463-7_43","","Counting and analysis of leukocyte on peripheral blood smears have great significance to assist doctors’ pathological diagnosis. Thus, accurate and automatic segmentation of leukocyte from blood smear images is a fundamental task. To achieve this task, we proposed an end-to-end peripheral blood leukocyte segmentation method based on deep convolutional neural networks, where the encoder-decoder network is its basic structure. Specifically, the proposed method first utilizes the feature encoder to extract multi-scale leukocyte features. Then, the context-aware feature decoder is introduced to reconstruct the segmentation mask of leukocyte. Finally, each layer generates a prediction map in the decoder module, and all these prediction maps are averaged to be the final prediction map. To demonstrate the effectiveness of the proposed method, we performed qualitative and quantitative comparisons with several existing methods on two publicly available datasets and a private dataset. Experimental results validate that the proposed method is superior for peripheral blood leukocyte image segmentation in terms of accuracy and robustness.","2020","2021-02-25 13:59:04","2021-02-25 13:59:04","","464-473","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\I5WMEMPT\Chen et al. - 2020 - Peripheral Blood Leukocyte Image Segmentation Base.pdf","","","Deep neural network; Feature extraction; Image segmentation; Leukocyte","Chen, Xiaofeng; Yan, Hongyang; Yan, Qiben; Zhang, Xiangliang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXV6AJUA","conferencePaper","2020","Zhang, Songtao; Ni, Qingwen; Li, Bing; Jiang, Shan; Cai, Wenyu; Chen, Hang; Luo, Lin","Corruption-Robust Enhancement of Deep Neural Networks for Classification of Peripheral Blood Smear Images","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","978-3-030-59722-1","","10.1007/978-3-030-59722-1_36","","Deep learning emerges as a promising technology for automated peripheral blood smear analysis and hematologic diagnosis. A big challenge to deep learning model is the accuracy drop when facing image corruptions caused by different smear preparation and digitalization operations. In order to serve the real applications of peripheral blood analysis, a practical deep learning classifier needs to be robust against a wide range of corruptions. In this paper, we first investigate the comprehensive corruption types for peripheral blood smear image and establish the benchmark dataset Smear-C simulating the real physical cause factors. Then we propose a novel method SmearRobust which can easily fit into the existing neural networks and improve the robustness. Experimental results show that SmearRobust can significantly enhance the robustness upon Smear-C dataset. Furthermore, the proposed corruption simulation algorithms and the robust learning method can be potentially applied to bone marrow smear and general pathology areas.","2020","2021-02-25 13:59:12","2021-02-25 13:59:12","","372-381","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\US3JT8LL\Zhang et al. - 2020 - Corruption-Robust Enhancement of Deep Neural Netwo.pdf","","","Corruption; Deep learning; Peripheral blood; Robustness","Martel, Anne L.; Abolmaesumi, Purang; Stoyanov, Danail; Mateus, Diana; Zuluaga, Maria A.; Zhou, S. Kevin; Racoceanu, Daniel; Joskowicz, Leo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFGQ8WC9","conferencePaper","2020","Ghosh, Sayantari; Bhattacharya, Saumik","Classification of RBC and WBC in Noisy Microscopic Images of Blood Smear","Information, Photonics and Communication","978-981-329-453-0","","10.1007/978-981-32-9453-0_20","","Blood cell counts are one of the vital signs that play a major role in medical diagnostics. The process of estimating complete blood count (CBC) is either expensive or time taking depending on the technique that is used for counting. A manual differential technique, that is often used to get authentic count and abnormalities present in a stained blood smear, requires a lot of human expertise and time. Dedicated efforts are given to make the classification and counting process of blood profiles automatic and robust. In this paper, first, we build a neural network-based multiclass classifier that can classify between RBC, WBC, and platelets. However, we demonstrate that the presence of a small amount of random noise can drastically decrease the performance of the designed classifier. Thus, we design a preprocessing network to enhance the quality of the input image so that the classifier can faithfully classify the blood cells even in adverse imaging conditions.","2020","2021-02-25 13:59:27","2021-02-25 13:59:27","","195-200","","","","","","","Lecture Notes in Networks and Systems","","","","Springer","Singapore","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\QWW5WHF7\Ghosh und Bhattacharya - 2020 - Classification of RBC and WBC in Noisy Microscopic.pdf","","","Denoising; Enhancement; RBC; WBC","Mandal, Jyotsna Kumar; Bhattacharya, Kallol; Majumdar, Ivy; Mandal, Surajit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9REUININ","journalArticle","2020","Hung, Jane; Goodman, Allen; Ravel, Deepali; Lopes, Stefanie C. P.; Rangel, Gabriel W.; Nery, Odailton A.; Malleret, Benoit; Nosten, Francois; Lacerda, Marcus V. G.; Ferreira, Marcelo U.; Rénia, Laurent; Duraisingh, Manoj T.; Costa, Fabio T. M.; Marti, Matthias; Carpenter, Anne E.","Keras R-CNN: library for cell detection in biological images using deep neural networks","BMC Bioinformatics","","1471-2105","10.1186/s12859-020-03635-x","https://doi.org/10.1186/s12859-020-03635-x","A common yet still manual task in basic biology research, high-throughput drug screening and digital pathology is identifying the number, location, and type of individual cells in images. Object detection methods can be useful for identifying individual cells as well as their phenotype in one step. State-of-the-art deep learning for object detection is poised to improve the accuracy and efficiency of biological image analysis.","2020-07-11","2021-02-25 13:59:52","2021-02-25 13:59:52","2021-02-25 13:59:52","300","","1","21","","BMC Bioinformatics","Keras R-CNN","","","","","","","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\NZ4QFRIX\Hung et al. - 2020 - Keras R-CNN library for cell detection in biologi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KV9P5Z6","conferencePaper","2019","Ding, Yifan; Yang, Yujia; Cui, Yan","Deep Learning for Classifying of White Blood Cancer","ISBI 2019 C-NMC Challenge: Classification in Cancer Cell Imaging","9789811507984","","10.1007/978-981-15-0798-4_4","","Cell classification by computer assistant technique has become a popular topic recently. It is crucial to do early disease diagnosis with less cost. In order to find efficient, high accuracy computer assistant methods, The International Symposium on Biomedical Imaging (ISBI) held the classification of normal vs malignant cells (C-NMC) challenge 2019 for classifying B-ALL white blood cancer microscopic images. Our team deploys several state-of-the-art CNN architectures and uses an ensemble method named stacking to boost the final prediction performance, which helped to get the eighth place in the preliminary phase and tenth place in the final phase. Weighted F1 scores evaluated on our model were 0.8674 and 0.8552, for the preliminary and final phase, respectively. It is a relatively reasonable result in such an expertise required task.","2019","2021-02-25 14:00:08","2021-02-25 14:00:08","","33-41","","","","","","","Lecture Notes in Bioengineering","","","","Springer","Singapore","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\6WGELUFR\Ding et al. - 2019 - Deep Learning for Classifying of White Blood Cance.pdf","","","CNN; Deep learning; Ensemble model","Gupta, Anubha; Gupta, Ritu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBJEHG8V","conferencePaper","2019","Lu, Yan; Fan, Haoyi; Li, Zuoyong","Leukocyte Segmentation via End-to-End Learning of Deep Convolutional Neural Networks","Intelligence Science and Big Data Engineering. Visual Data Engineering","978-3-030-36189-1","","10.1007/978-3-030-36189-1_16","","Identification and analysis of leukocytes (white blood cells, WBC) in blood smear images play a vital role in the diagnosis of many diseases, including infections, leukemia, and acquired immune deficiency syndrome (AIDS). However, it remains difficult to accurately segment and identify leukocytes under variable imaging conditions, such as variable light conditions and staining degrees, the presence of dyeing impurities, and large variations in cell appearances, e.g., size, color, and shape of cells. In this paper, we propose an end-to-end leukocyte segmentation algorithm that uses pixel-level prior information for supervised training of a deep convolutional neural network. Specifically, a context-aware feature encoder is first introduced to extract multi-scale leukocyte features. Then, a feature refinement module based on the residual network is designed to extract more discriminative features. Finally, a finer segmentation mask of leukocytes is reconstructed by a feature decoded based on the feature maps. Quantitative and qualitative comparisons of real-world datasets show that the proposed method achieves state-of-the-art leukocyte segmentation performance in terms of both accuracy and robustness.","2019","2021-02-25 14:00:25","2021-02-25 14:00:25","","191-200","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\EEKFU62T\Lu et al. - 2019 - Leukocyte Segmentation via End-to-End Learning of .pdf","","","Cell segmentation; Deep convolutional neural networks; Feature refinement; Leukocytes","Cui, Zhen; Pan, Jinshan; Zhang, Shanshan; Xiao, Liang; Yang, Jian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4W8SQSK4","conferencePaper","2020","Overton, Toyah; Tucker, Allan","DO-U-Net for Segmentation and Counting","Advances in Intelligent Data Analysis XVIII","978-3-030-44584-3","","10.1007/978-3-030-44584-3_31","","Many image analysis tasks involve the automatic segmentation and counting of objects with specific characteristics. However, we find that current approaches look to either segment objects or count them through bounding boxes, and those methodologies that both segment and count struggle with co-located and overlapping objects. This restricts our capabilities when, for example, we require the area covered by particular objects as well as the number of those objects present, especially when we have a large amount of images to obtain this information for. In this paper, we address this by proposing a Dual-Output U-Net. DO-U-Net is an Encoder-Decoder style, Fully Convolutional Network (FCN) for object segmentation and counting in image processing. Our proposed architecture achieves precision and sensitivity superior to other, similar models by producing two target outputs: a segmentation mask and an edge mask. Two case studies are used to demonstrate the capabilities of DO-U-Net: locating and counting Internally Displaced People (IDP) tents in satellite imagery, and the segmentation and counting of erythrocytes in blood smears. The model was demonstrated to work with a relatively small training dataset, achieving a sensitivity of 98.69% for IDP camps of the fixed resolution, and 94.66% for a scale-invariant IDP model. DO-U-Net achieved a sensitivity of 99.07% on the erythrocytes dataset. DO-U-Net has a reduced memory footprint, allowing for training and deployment on a machine with a lower to mid-range GPU, making it accessible to a wider audience, including non-governmental organisations (NGOs) providing humanitarian aid, as well as health care organisations.","2020","2021-02-25 17:42:52","2021-02-25 17:42:52","","391-403","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\RLFZGYU8\Overton und Tucker - 2020 - DO-U-Net for Segmentation and Counting.pdf","","","Blood smear; Convolutional neural networks; Counting; Satellite imagery; Segmentation; U-Net","Berthold, Michael R.; Feelders, Ad; Krempl, Georg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIW9Q8TT","conferencePaper","2020","Singh, Ishpreet; Singh, Narinder Pal; Singh, Harnoor; Bawankar, Saharsh; Ngom, Alioune","Blood Cell Types Classification Using CNN","Bioinformatics and Biomedical Engineering","978-3-030-45385-5","","10.1007/978-3-030-45385-5_65","","White Blood Cells also known as leukocytes plays an important role in the human body by increasing the immunity by fighting against infectious diseases. The classification of White Blood Cells, plays an important role in detection of a disease in an individual. The classification can also assist with the identification of diseases like infections, allergies, anemia, leukemia, cancer, Acquired Immune Deficiency Syndrome (AIDS), etc. that are caused due to anomalies in the immune system. This classification will assist the hematologist distinguish the type of White Blood Cells present in human body and find the root cause of diseases. Currently there are a large amount of research going on in this field. Considering a huge potential in the significance of classification of WBCs, we will be using a deep learning technique Convolution Neural Networks (CNN) which can classify the images of WBCs into its subtypes namely, Neutrophil, Eosinophil, Lymphocyte and Monocyte. In this paper, we will be reporting the results of various experiments executed on the Blood Cell Classification and Detection (BCCD) dataset using CNN.","2020","2021-02-25 17:43:06","2021-02-25 17:43:06","","727-738","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\A45XMMIW\Singh et al. - 2020 - Blood Cell Types Classification Using CNN.pdf","","","Basophils; Blood cell classification; CNN; Eosinophil; Keras; Lymphocytes; Monocytes; Neutrophils; Relu function; Softmax function; Tensorflow; White blood cell google colab","Rojas, Ignacio; Valenzuela, Olga; Rojas, Fernando; Herrera, Luis Javier; Ortuño, Francisco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDVPCAHX","bookSection","2021","Ghosh, Archita; Parui, Sricheta; Samanta, Debasis; Mukhopadhyay, Jayanta; Chakravorty, Nishant","Computer Aided Diagnosis: Approaches to Automate Hematological Tests","Modern Techniques in Biosensors: Detection Methods and Commercial Aspects","9789811596124","","","https://doi.org/10.1007/978-981-15-9612-4_5","Hematological disorders are disorders pertaining to blood cell anomalies. Diseases varying from anemia, malaria to leukemia are diagnosed via careful scrutiny of peripheral blood smears (PBS) prepared on glass slides. Usually, the tests are performed in laboratory settings by skilled professionals and clinicians to reach a diagnosis. However, human error due to fatigue and observational oversights might lead to a misdiagnosis. Automated systems are therefore developed to assist the diagnostic procedure of clinicians and provide them with meaningful insights. Computer aided diagnosis is mostly concerned with the evaluation of medical images by employing various image processing techniques. The chapter gives an overview of the stages in developing a computer aided diagnosis system. It concentrates toward the common approaches in designing and developing an assisting system to detect abnormalities in blood samples using image processing tools alongside tools like machine learning and deep learning. The chapter addresses steps like pre-processing, image segmentation, feature extraction, pattern recognition and classification while focusing on specific studies on blood disorders.","2021","2021-02-25 17:43:13","2021-02-25 17:43:13","2021-02-25 17:43:13","111-134","","","","","","Computer Aided Diagnosis","Studies in Systems, Decision and Control","","","","Springer","Singapore","en","","","","","Springer Link","","DOI: 10.1007/978-981-15-9612-4_5","","C:\Users\Sebastian\Zotero\storage\D8J5JT9L\Ghosh et al. - 2021 - Computer Aided Diagnosis Approaches to Automate H.pdf","","","Blood cell images; Classification; Computer aided diagnosis; Hematological disorders; Image processing; Segmentation","Dutta, Gorachand; Biswas, Arindam; Chakrabarti, Amlan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLQRUTTW","journalArticle","2020","Long, Feixiao","Microscopy cell nuclei segmentation with enhanced U-Net","BMC Bioinformatics","","1471-2105","10.1186/s12859-019-3332-1","https://doi.org/10.1186/s12859-019-3332-1","Cell nuclei segmentation is a fundamental task in microscopy image analysis, based on which multiple biological related analysis can be performed. Although deep learning (DL) based techniques have achieved state-of-the-art performances in image segmentation tasks, these methods are usually complex and require support of powerful computing resources. In addition, it is impractical to allocate advanced computing resources to each dark- or bright-field microscopy, which is widely employed in vast clinical institutions, considering the cost of medical exams. Thus, it is essential to develop accurate DL based segmentation algorithms working with resources-constraint computing.","2020-01-08","2021-02-25 17:43:21","2021-02-25 17:43:21","2021-02-25 17:43:21","8","","1","21","","BMC Bioinformatics","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\8E8GRBRB\Long - 2020 - Microscopy cell nuclei segmentation with enhanced .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZVEAZYY","conferencePaper","2019","Khan, Mohammad Azam; Choo, Jaegul","Classification of Cancer Microscopic Images via Convolutional Neural Networks","ISBI 2019 C-NMC Challenge: Classification in Cancer Cell Imaging","9789811507984","","10.1007/978-981-15-0798-4_15","","This paper describes our approach for the classification of normal versus malignant cells in B-ALL white blood cancer microscopic images: ISBI 2019—classification of leukemic B-lymphoblast cells from normal B-lymphoid precursors from blood smear microscopic images. We leverage a state of the art convolutional neural network pretrained with the ImageNet dataset and applied several data augmentation and hyperparameters optimization strategies. Our method obtains an F1 score of 0.83 for the final test set in the competition.","2019","2021-02-25 17:43:46","2021-02-25 17:43:46","","141-147","","","","","","","Lecture Notes in Bioengineering","","","","Springer","Singapore","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\TZFHAX27\Khan und Choo - 2019 - Classification of Cancer Microscopic Images via Co.pdf","","","B-lymphoblast cell; B-lymphoid; Blood cancer; Blood smear; Convolutional neural networks","Gupta, Anubha; Gupta, Ritu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRJUXMK5","journalArticle","2021","Hayakawa, Tomohiro; Prasath, V. B. Surya; Kawanaka, Hiroharu; Aronow, Bruce J.; Tsuruoka, Shinji","Computational Nuclei Segmentation Methods in Digital Pathology: A Survey","Archives of Computational Methods in Engineering","","1886-1784","10.1007/s11831-019-09366-4","https://doi.org/10.1007/s11831-019-09366-4","Pathology is an important field in modern medicine. In particular, the step of nuclei segmentation is an important step in cancer analysis, diagnosis, and grading because cancer analysis, diagnosis, classification, and grading are highly dependent on the quality (accuracy) of nuclei segmentation. In the conventional cancer diagnosis, pathologists analyze biopsies to make diagnostic and prognostic assessments, mainly based on the cell morphology and architecture distribution. In recent years, computerized approaches are rapidly developing in the field of digital pathology, and applications related to nuclei detection, segmentation and classification are increasing. These approaches will play an important role of minimizing human intervention, integrating relevant second opinions, and providing traceable clinical information. In the past, much effort has been devoted to automation of nuclei segmentation and methods to deal with nuclei complex structure. This review provides the summary of the techniques and experimental materials used for nuclei segmentation.","2021-01-01","2021-02-25 17:43:54","2021-02-25 17:43:54","2021-02-25 17:43:54","1-13","","1","28","","Arch Computat Methods Eng","Computational Nuclei Segmentation Methods in Digital Pathology","","","","","","","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\GYP2TIVG\Hayakawa et al. - 2021 - Computational Nuclei Segmentation Methods in Digit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ALPWB6Q","conferencePaper","2018","Gräbel, Philipp; Crysandt, Martina; Herwartz, Reinhild; Hoffmann, Melanie; Klinkhammer, Barbara M.; Boor, Peter; Brümmendorf, Tim H.; Merhof, Dorit","Evaluating Out-of-the-Box Methods for the Classification of Hematopoietic Cells in Images of Stained Bone Marrow","Computational Pathology and Ophthalmic Medical Image Analysis","978-3-030-00949-6","","10.1007/978-3-030-00949-6_10","","Compared to the analysis of blood cells in microscope images of peripheral blood, bone marrow images are much more challenging for automated cell classification: not only are the cells more densely distributed, there are also significantly more types of hematopoietic cells. So far, several attempts have been made using custom image features and prior knowledge in form of cytoplasm and nuclei segmentations or a restricted number of cell types in peripheral blood. Instead of hand-crafting features and classification methods for bone marrow images, we compare several well-known methods on our more challenging dataset and we show that while generic classical machine learning approaches cannot compete with specialized algorithms, even out-of-the-box deep learning methods already yield valuable results. Our findings indicate that automated analysis of bone marrow images becomes possible with the advent of convolutional neural networks.","2018","2021-02-25 18:41:22","2021-02-25 18:41:22","","78-85","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\LKZU4GG8\Gräbel et al. - 2018 - Evaluating Out-of-the-Box Methods for the Classifi.pdf","","","Bone marrow; Classification; Hematopoietic cells; Residual network; White blood cells","Stoyanov, Danail; Taylor, Zeike; Ciompi, Francesco; Xu, Yanwu; Martel, Anne; Maier-Hein, Lena; Rajpoot, Nasir; van der Laak, Jeroen; Veta, Mitko; McKenna, Stephen; Snead, David; Trucco, Emanuele; Garvin, Mona K.; Chen, Xin Jan; Bogunovic, Hrvoje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEGVTA6W","conferencePaper","2019","Yang, Hao-Yu; Staib, Lawrence H.","Leukemic B-Lymphoblast Cell Detection with Monte Carlo Dropout Ensemble Models","ISBI 2019 C-NMC Challenge: Classification in Cancer Cell Imaging","9789811507984","","10.1007/978-981-15-0798-4_13","","Automatic detection of Leukemic B-lymphoblast cells from normal cells is both crucial and difficult with subject variability being a major obstacle. While deep learning models are widely adopted in image recognition and demonstrate state-of-the-art performance, deep learning models in their vanilla form do not provide an estimate of prediction uncertainty. This is especially problematic when there is a high discrepancy between training and testing data such as in blood smear images where subject level variability and sample noise from staining and illumination are non-negligible. To address these issues, we propose a novel ensemble method by weighting each base model according to its respective predictive confidence obtained from Monte Carlo dropout. Our ensemble method can effectively prevent overfitting and increases classification performance compared to any single model result. Furthermore, we demonstrate the model’s ability to identify samples that do not fall in the training data distribution. We achieved 0.8929 prediction score according to the leaderboard on the SBILab challenge website.","2019","2021-02-25 18:42:06","2021-02-25 18:42:11","","123-130","","","","","","","Lecture Notes in Bioengineering","","","","Springer","Singapore","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\YDKRTKUZ\Yang und Staib - 2019 - Leukemic B-Lymphoblast Cell Detection with Monte C.pdf","","","Convolutional neural network; Ensemble model; Model uncertainty; Monte Carlo dropout","Gupta, Anubha; Gupta, Ritu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y52PEZS7","conferencePaper","2019","Sadafi, Ario; Koehler, Niklas; Makhro, Asya; Bogdanova, Anna; Navab, Nassir; Marr, Carsten; Peng, Tingying","Multiclass Deep Active Learning for Detecting Red Blood Cell Subtypes in Brightfield Microscopy","Medical Image Computing and Computer Assisted Intervention – MICCAI 2019","978-3-030-32239-7","","10.1007/978-3-030-32239-7_76","","The recent success of deep learning approaches relies partly on large amounts of well annotated training data. For natural images object annotation is easy and cheap. For biomedical images however, annotation crucially depends on the availability of a trained expert whose time is typically expensive and scarce. To ensure efficient annotation, only the most relevant objects should be presented to the expert. Currently, no approach exists that allows to select those for a multiclass detection problem. Here, we present an active learning framework that identifies the most relevant samples from a large set of not annotated data for further expert annotation. Applied to brightfield images of red blood cells with seven subtypes, we train a faster R-CNN for single cell identification and classification, calculate a novel confidence score using dropout variational inference and select relevant images for annotation based on (i) the confidence of the single cell detection and (ii) the rareness of the classes contained in the image. We show that our approach leads to a drastic increase of prediction accuracy with already few annotated images. Our original approach improves classification of red blood cell subtypes and speeds up the annotation. This important step in diagnosing blood diseases will profit from our framework as well as many other clinical challenges that suffer from the lack of annotated training data.","2019","2021-02-26 14:05:44","2021-02-26 14:05:44","","685-693","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\4DMSSPLU\Sadafi et al. - 2019 - Multiclass Deep Active Learning for Detecting Red .pdf","","","Active learning; Multiclass annotation; Single cell microscopy","Shen, Dinggang; Liu, Tianming; Peters, Terry M.; Staib, Lawrence H.; Essert, Caroline; Zhou, Sean; Yap, Pew-Thian; Khan, Ali","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
